trade_date,target_time,node_seq,sector_type,direction,position,sector_code,sector_name,turnover_market_share_pct,turnover_1m_market_share_pct,turnover_market_share_delta_15m,turnover_1m_market_share_delta_15m,turnover_increment_15m,turnover_increment_market_share_pct,turnover_share_rank,turnover_share_rank_delta,up_ratio_delta_15m,new_high_ratio_delta_15m,turnover_1m_top1_share_pct,turnover_1m_top3_share_pct,turnover_1m_top5_share_pct
2026-08-28,10:30:15,72,concept,DOWN,3,885887.TI,数据中心(AIDC),29.264667,24.994341,-0.314983,-2.617601,32096382566.00,26.832773,5,0,-0.024465,0.001529,4.730502,10.674439,14.667447
2026-08-28,10:30:15,72,concept,DOWN,4,885431.TI,新能源汽车,25.444405,23.639098,-0.289076,-0.563446,27765985675.00,23.212535,9,0,-0.024390,-0.002814,2.802625,7.934448,12.579660
2026-08-28,10:30:15,72,concept,DOWN,5,886100.TI,DeepSeek概念,16.110937,15.178916,-0.264635,-2.166839,16827349509.00,14.067768,19,0,-0.007802,-0.009103,4.323302,10.264180,15.703564
2026-08-28,10:30:15,72,concept,DOWN,6,885806.TI,华为概念,29.249860,27.609362,-0.255890,-2.340297,32624404689.00,27.274203,6,0,-0.033865,-0.004980,2.224482,6.505981,10.120792
2026-08-28,10:30:15,72,concept,DOWN,7,886044.TI,液冷服务器,12.816157,12.285737,-0.250508,1.149553,13016716636.00,10.882055,28,0,-0.021645,-0.004329,9.623824,18.783771,25.588898
2026-08-28,10:30:15,72,concept,DOWN,8,886032.TI,固态电池,8.449365,7.390771,-0.222863,-0.111824,8048632684.00,6.728706,50,-2,-0.006734,-0.010101,7.616415,16.471541,23.789191
2026-08-28,10:30:15,72,concept,DOWN,9,885700.TI,军工,12.193819,11.528396,-0.209746,-0.655007,12648748836.00,10.574432,31,0,0.006601,0.003300,4.642228,11.909983,16.714557
2026-08-28,10:30:15,72,concept,DOWN,10,885756.TI,芯片概念,41.948791,39.503185,-0.202068,-1.714583,48311464051.00,40.388681,3,0,-0.052061,0.000000,2.993069,6.816622,10.075712
2026-08-28,10:30:15,72,industry,UP,1,881121.TI,半导体,12.282410,12.651606,0.077892,0.936878,15411124609.00,12.883795,1,0,-0.085561,0.000000,5.432455,13.402619,19.346774
2026-08-28,10:30:15,72,industry,UP,2,884090.TI,分立器件,0.827287,0.750245,0.074659,-0.348843,1679063902.00,1.403708,61,0,0.000000,0.000000,17.605795,49.284811,70.077664
2026-08-28,10:30:15,72,industry,UP,3,884229.TI,半导体设备,1.602930,1.975711,0.070090,0.294348,2564659482.00,2.144071,26,1,-0.038462,0.000000,18.732618,44.652633,59.433229
2026-08-28,10:30:15,72,industry,UP,4,884262.TI,通信网络设备及器件,5.464126,4.496575,0.063330,-1.291531,7120858830.00,5.953082,5,0,0.025000,-0.025000,26.294631,51.904101,63.430638
2026-08-28,10:30:15,72,industry,UP,5,881123.TI,其他电子,1.161493,1.675219,0.061455,0.592578,1956890160.00,1.635972,43,1,-0.029412,0.000000,36.661788,64.335345,74.243083
2026-08-28,10:30:15,72,industry,UP,6,881168.TI,工业金属,1.977118,3.502167,0.060370,2.049379,2922490567.00,2.443220,20,0,0.218182,0.072727,7.693090,19.876912,31.458064
2026-08-28,10:30:15,72,industry,UP,7,884096.TI,光学元件,0.771864,0.612468,0.044662,-0.555872,1335743797.00,1.116690,62,2,-0.083333,-0.041667,19.158676,48.517789,65.024046
2026-08-28,10:30:15,72,industry,UP,8,881175.TI,医疗服务,1.260719,1.495858,0.042313,-0.114652,1898792422.00,1.587402,35,2,-0.107143,-0.017857,21.325271,40.166781,49.063956
2026-08-28,10:30:15,72,industry,UP,9,881122.TI,光学光电子,1.859731,1.593842,0.041708,-0.891028,2609722428.00,2.181744,22,0,-0.037383,-0.009346,11.831852,25.942094,35.170465
2026-08-28,10:30:15,72,industry,UP,10,884244.TI,医疗研发外包,0.985309,1.247731,0.040414,0.104301,1551825847.00,1.297336,51,2,-0.100000,0.000000,25.566065,48.154442,58.820932
2026-08-28,10:30:15,72,industry,DOWN,1,881270.TI,元件,7.370797,5.188013,-0.189221,-0.802676,7069176329.00,5.909875,3,0,0.000000,0.000000,11.544908,27.524992,41.319843
2026-08-28,10:30:15,72,industry,DOWN,2,884092.TI,印制电路板,5.698659,3.919861,-0.144823,-0.902435,5479047730.00,4.580518,4,0,0.000000,0.000000,15.279911,35.892216,51.210641
2026-08-28,10:30:15,72,industry,DOWN,3,884263.TI,通信线缆及配套,2.675197,1.737344,-0.128946,-1.066580,2009128883.00,1.679644,11,-2,0.000000,0.000000,30.804176,75.902298,91.614363
2026-08-28,10:30:15,72,industry,DOWN,4,881272.TI,软件开发,2.971380,2.280756,-0.096165,-0.519975,2666151617.00,2.228919,7,0,-0.021739,-0.021739,11.006256,21.512461,29.877227
2026-08-28,10:30:15,72,industry,DOWN,5,881129.TI,通信设备,9.075528,7.433758,-0.080738,-2.021356,10110180444.00,8.452173,2,0,-0.010989,-0.032967,15.905249,34.177391,46.070122
2026-08-28,10:30:15,72,industry,DOWN,6,884296.TI,横向通用软件,1.437105,0.782198,-0.076742,-0.334947,1010286106.00,0.844605,29,0,-0.024390,0.000000,16.038160,41.520622,57.346887
2026-08-28,10:30:15,72,industry,DOWN,7,881170.TI,小金属,1.649677,1.225918,-0.053567,-0.178838,1478576033.00,1.236099,25,0,0.172414,0.034483,11.878790,30.710762,47.502310
2026-08-28,10:30:15,72,industry,DOWN,8,881109.TI,化学制品,2.302318,1.746551,-0.048804,-0.164049,2303235719.00,1.925519,14,0,-0.032967,0.005495,9.698178,24.576251,36.407115
2026-08-28,10:30:15,72,industry,DOWN,9,884093.TI,被动元件,1.672139,1.268151,-0.044398,0.099759,1590128599.00,1.329357,24,0,0.000000,0.000000,31.232779,63.029956,84.275412
2026-08-28,10:30:15,72,industry,DOWN,10,884036.TI,氟化工,0.685900,0.330536,-0.037398,-0.119459,475071189.00,0.397162,70,-2,0.000000,0.000000,41.611608,81.719008,91.846930
2026-08-28,10:30:15,72,style,UP,1,883927.TI,高股息股,5.163649,5.179973,0.138465,-0.891103,7455329681.00,6.232701,45,0,0.071174,-0.005338,5.581497,11.874884,16.798337
2026-08-28,10:30:15,72,style,UP,2,883930.TI,破净股,3.323262,3.092058,0.111209,-0.406314,5002205755.00,4.181875,57,0,0.106796,0.016990,9.350407,17.136919,22.122843
2026-08-28,10:30:15,72,style,UP,3,883435.TI,医药医疗,3.157015,3.109299,0.091132,-0.580493,4617935213.00,3.860622,58,0,0.020408,-0.003401,10.259412,23.023150,28.206500
2026-08-28,10:30:15,72,style,UP,4,883414.TI,高市净率,13.920704,12.500127,0.070323,-1.122632,17300884498.00,14.463646,19,0,0.020101,0.000000,6.584993,16.874841,25.163243
2026-08-28,10:30:15,72,style,UP,5,883415.TI,低市净率,1.807942,1.574753,0.067558,-0.142332,2786504434.00,2.329535,65,1,0.145000,0.030000,7.657907,19.732802,26.640914
