"scheduled_time","node_seq","thscode","ticker","stock_name","candidate_rank","candidate_score_v1","candidate_hit_count","candidate_reason_mask","hit_price_strength","hit_turnover_absolute","hit_turnover_acceleration","hit_new_high","hit_limit_strength","hit_core_sector","hit_sector_leader","hit_persistence","price_change_ratio_pct","price_change_1m_pct","price_change_rank_market","price_change_1m_rank_market","turnover","turnover_delta_1m","turnover_growth_1m","turnover_rank_market","turnover_delta_1m_rank_market","turnover_top_pct_market","turnover_delta_1m_top_pct_market","new_high_flag","is_limit_up","is_limit_break","continue_day_cnt","seal_money","core_sector_count","best_core_sector_type","best_core_sector_name","best_core_sector_candidate_rank","best_sector_turnover_rank","best_sector_turnover_1m_rank","best_sector_price_rank","best_sector_turnover_share_pct","candidate_hit_count_3","candidate_hit_count_5","state_data_status","state_source_scheduled_time","state_source_age_seconds"
"2026-08-28 10:30:15.000",72,"600641.SH","600641","先导基电",14,75,6,231,1,1,1,0,0,1,1,1,5,-0.11191941801902416,194,4648,2569912700,13875800,0.6861253554329598,54,111,0.009708737864077669,0.019956850053937433,0,0,0,\N,\N,3,"concept","TOPCON电池",6,1,5,7,11.663081577653779,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"300017.SZ","300017","网宿科技",15,75,6,231,1,1,1,0,0,1,1,1,3.555268,-0.24906600249064992,326,5262,2171802600,29210000,0.8522041292548064,76,28,0.013664149586479683,0.005034160373966199,0,0,0,\N,\N,3,"concept","华为鲲鹏",3,3,1,27,6.533610027814807,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"688205.SH","688205","德科立",16,75,6,231,1,1,1,0,0,1,1,1,14.406567,-0.2894593118514477,7,5341,2057652800,26539800,0.8496438676944091,85,35,0.015282272563825961,0.006292700467457749,0,0,0,\N,\N,3,"industry","通信网络设备及器件",3,8,3,1,3.610011731083,3,4,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"000506.SZ","000506","招金黄金",17,75,6,231,1,1,1,0,0,1,1,1,-3.759058,1.2386850881372258,5453,3,1487884700,36600900,2.3809268684703992,121,14,0.021754764473211074,0.0025170801869830997,0,0,0,\N,\N,8,"concept","国企改革",1,29,3,1455,0.6032525135064559,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"603186.SH","603186","华正新材",18,70,5,167,1,1,1,0,0,1,0,1,4.438628,0.4352385946512882,231,105,3024800500,11659400,0.6036806778169015,39,134,0.007011866235167206,0.02409205321826681,0,0,0,\N,\N,3,"concept","2026中报预增",7,23,59,31,0.9924773690962965,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"600378.SH","600378","昊华科技",19,70,5,179,1,1,0,0,1,1,0,1,10.008254,0,39,3196,2844412300,1092800,-0.4305960817007086,45,1330,0.008090614886731391,0.23912261776339447,0,1,0,2,669185340,4,"concept","国企改革",1,9,354,10,1.1532472035122612,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"600869.SH","600869","远东股份",20,70,5,167,1,1,1,0,0,1,0,1,5.51532,0.2116402116402183,167,548,2749835600,20602200,0.4221065637705268,48,64,0.008629989212513484,0.011506652283351312,0,0,0,\N,\N,4,"style","先进制造",8,8,12,43,1.1209873534202508,3,4,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 11:00:15.000",102,"002636.SZ","002636","金安国纪",1,90,7,247,1,1,1,0,1,1,1,1,7.045094,-0.4288394532297124,102,5228,5321184100,12590400,-0.37332822322544035,19,63,0.0034160373966199207,0.011326860841423949,0,0,1,\N,\N,4,"style","昨日非ST涨停表现",2,3,5,22,4.436772623536969,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"603618.SH","603618","杭电股份",2,90,7,247,1,1,1,0,1,1,1,1,3.674167,-0.4376367614879806,278,5254,5085823000,11290000,0.10932065163990812,22,73,0.003955411722402014,0.01312477526069759,0,0,1,\N,\N,7,"style","昨日非ST涨停表现",2,4,6,37,4.240529895320603,3,5,"CURRENT","2026-08-28 11:00:15.000",0
"2026-08-28 11:00:15.000",102,"688205.SH","688205","德科立",3,90,7,247,1,1,1,0,1,1,1,1,14.538163,-0.835503472222221,6,5533,3165416800,10798000,1.2715893552119493,54,82,0.009708737864077669,0.014742898238043868,0,0,1,\N,\N,2,"concept","沪股通",15,22,38,1,0.5971705976926489,3,5,"CURRENT","2026-08-28 11:00:15.000",0
