"strategic_theme","strategic_subtheme","watch_level","sector_type","sector_code","sector_name","scheduled_time","state_data_status","state_source_scheduled_time","state_source_age_seconds","index_change_ratio_pct","current_class_rank","current_candidate_rank","turnover_market_share_pct","turnover_1m_market_share_pct","turnover_market_share_delta_15m","turnover_1m_market_share_delta_15m","up_ratio","new_high_ratio","limit_up_count","limit_break_count","turnover_1m_top1_share_pct","turnover_1m_top3_share_pct","turnover_1m_top5_share_pct","turnover_rank_last_5"
"AI软件商业化","大模型应用","IMPORTANT","concept","886031.TI","ChatGPT概念","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.852937,132,\N,3.31267502011151,3.098339514479624,-0.012758546620647682,0.4970557887976259,0.5755395683453237,0,8,1,6.119966679865917,17.990650239515467,28.13766190557464,"[('2026-08-28 14:00:15.000',128),('2026-08-28 14:15:15.000',128),('2026-08-28 14:30:15.000',130),('2026-08-28 14:45:15.000',131),('2026-08-28 15:00:00.000',132)]"
"AI软件商业化","多模态","IMPORTANT","concept","886062.TI","多模态AI","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.361298,139,\N,3.032702897165246,2.9133518872246893,0.001587979753113089,0.4130932641834457,0.4675324675324675,0.006493506493506494,5,1,6.508563100350546,18.01922602729915,27.749444491585745,"[('2026-08-28 14:00:15.000',138),('2026-08-28 14:15:15.000',139),('2026-08-28 14:30:15.000',139),('2026-08-28 14:45:15.000',139),('2026-08-28 15:00:00.000',139)]"
"AI软件商业化","国产大模型","IMPORTANT","concept","886090.TI","智谱AI","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.284143,201,\N,1.7487651815330154,1.6171215446276963,-0.003680284648457599,0.2574820543190173,0.5352112676056338,0,0,1,11.288260821364076,31.5129431935612,43.35350660938268,"[('2026-08-28 14:00:15.000',194),('2026-08-28 14:15:15.000',195),('2026-08-28 14:30:15.000',197),('2026-08-28 14:45:15.000',201),('2026-08-28 15:00:00.000',201)]"
"AI软件商业化","国产大模型","IMPORTANT","concept","886094.TI","华为盘古","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.010614,323,\N,0.5441139723244136,0.5726708920009228,-0.0028194738346283277,0.14570731993233438,0.3793103448275862,0,0,0,29.673172902626742,58.52319493413557,70.74989752359429,"[('2026-08-28 14:00:15.000',320),('2026-08-28 14:15:15.000',322),('2026-08-28 14:30:15.000',322),('2026-08-28 14:45:15.000',323),('2026-08-28 15:00:00.000',323)]"
"AI软件商业化","AI综合样本","WATCH","concept","886102.TI","中国AI50","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.166011,74,\N,6.372009778348518,4.513675736347156,-0.05595542352163818,-3.17805862552433,0.3,0,1,0,17.311247070104482,39.026404888883285,49.621196559363376,"[('2026-08-28 14:00:15.000',71),('2026-08-28 14:15:15.000',71),('2026-08-28 14:30:15.000',72),('2026-08-28 14:45:15.000',74),('2026-08-28 15:00:00.000',74)]"
"AI软件商业化","AI视频","WATCH","concept","886068.TI","AI视频","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.862373,217,\N,1.5953688741842875,1.1617766388189281,-0.009741874435249986,-0.005721610126079746,0.5789473684210527,0,2,1,15.712563986621603,42.013757810929434,61.02792249442979,"[('2026-08-28 14:00:15.000',209),('2026-08-28 14:15:15.000',212),('2026-08-28 14:30:15.000',213),('2026-08-28 14:45:15.000',215),('2026-08-28 15:00:00.000',217)]"
"AI软件商业化","AI语料","WATCH","concept","886074.TI","AI语料","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,0.181936,258,\N,1.0521098919139245,1.257381717634451,0.006738850461463164,0.38989578198424346,0.4230769230769231,0,1,1,15.080332667155766,41.75052445626705,62.250109262672936,"[('2026-08-28 14:00:15.000',255),('2026-08-28 14:15:15.000',256),('2026-08-28 14:30:15.000',257),('2026-08-28 14:45:15.000',258),('2026-08-28 15:00:00.000',258)]"
"具身智能","机器人综合","CORE","concept","885517.TI","机器人概念","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.20995,10,15,23.530981616763526,24.34872785461377,0.049952034270539514,-0.2779100994477126,0.44435351882160395,0.0008183306055646482,11,3,6.890959064848777,16.56163005284398,21.24829281635925,"[('2026-08-28 14:00:15.000',11),('2026-08-28 14:15:15.000',11),('2026-08-28 14:30:15.000',11),('2026-08-28 14:45:15.000',11),('2026-08-28 15:00:00.000',10)]"
"具身智能","人形机器人","CORE","concept","886069.TI","人形机器人","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.608368,32,\N,11.860748073422894,13.626011184327444,0.008512891660435784,2.4974371220534906,0.34838709677419355,0,4,1,13.590489094231826,31.65906876713373,40.03380695217491,"[('2026-08-28 14:00:15.000',32),('2026-08-28 14:15:15.000',32),('2026-08-28 14:30:15.000',32),('2026-08-28 14:45:15.000',32),('2026-08-28 15:00:00.000',32)]"
"具身智能","感知","CORE","concept","886002.TI","机器视觉","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.429404,102,\N,4.446017097892112,3.7408835550350625,-0.0075408414541540125,-0.21013090470435802,0.3904382470119522,0,3,0,5.032384427013028,13.883152015177172,20.596661837007737,"[('2026-08-28 14:00:15.000',102),('2026-08-28 14:15:15.000',102),('2026-08-28 14:30:15.000',102),('2026-08-28 14:45:15.000',102),('2026-08-28 15:00:00.000',102)]"
"具身智能","核心执行器","CORE","concept","886008.TI","减速器","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.468956,209,\N,1.6938877232611775,2.0233400550686444,0.007874399902687346,0.15873092171977565,0.3237410071942446,0,1,0,15.859507895310045,35.91334549242172,44.58991962698652,"[('2026-08-28 14:00:15.000',207),('2026-08-28 14:15:15.000',210),('2026-08-28 14:30:15.000',210),('2026-08-28 14:45:15.000',209),('2026-08-28 15:00:00.000',209)]"
"具身智能","机器人整机","CORE","industry","884218.TI","机器人","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-1.371362,95,\N,0.5017772383873645,2.115332103553046,0.007666267514929714,1.5278560798593412,0.34782608695652173,0,0,0,79.31902827242232,94.18067524071509,97.26586366551646,"[('2026-08-28 14:00:15.000',95),('2026-08-28 14:15:15.000',96),('2026-08-28 14:30:15.000',96),('2026-08-28 14:45:15.000',95),('2026-08-28 15:00:00.000',95)]"
